headlines,posted_time,tokens,labels,secondary_labels,kmeans_3_labels
"Love (17 points, 18 boards) helps Cavs bounce back in romp",2016-01-21,"['love', '17', 'point', '18', 'board', 'help', 'cavs', 'bounce', 'back', 'romp']",0,0,0
"Wade sits as Whiteside, Deng exit loss to Wizards",2016-01-21,"['wade', 'sits', 'whiteside', 'deng', 'exit', 'loss', 'wizard']",0,0,0
Howard exits Rockets' loss early with ankle sprain,2016-01-21,"['howard', 'exit', 'rocket', 'loss', 'early', 'ankle', 'sprain']",0,0,0
"Cavs regroup, get 'back to basics' after blowout",2016-01-21,"['cavs', 'regroup', 'get', 'back', 'basic', 'blowout']",0,0,0
Spurs to hold out Parker (hip) against Phoenix,2016-01-20,"['spur', 'hold', 'parker', 'hip', 'phoenix']",0,0,0
"Wall, Beal each score 18, Wizards down Heat, 106-87",2016-01-20,"['wall', 'beal', 'score', '18', 'wizard', 'heat', '10687']",0,0,0
Lawson returns to starting lineup for Rockets,2016-01-20,"['lawson', 'return', 'starting', 'lineup', 'rocket']",0,0,0
Ex-assistant alleges Benson's wife harassed him,2016-01-20,"['exassistant', 'alleges', 'bensons', 'wife', 'harassed']",0,0,0
Windhorst: What's Love got to do with it? Everything,2016-01-20,"['windhorst', 'whats', 'love', 'got', 'everything']",0,0,0
"Nowitzki has swelling in knee, out at least 1 game",2016-01-20,"['nowitzki', 'swelling', 'knee', 'least', '1', 'game']",0,0,0
5-on-5: Dwight Howard top-10 all-time center?,2016-01-20,"['5on5', 'dwight', 'howard', 'top10', 'alltime', 'center']",0,0,0
"Pelicans' Gordon has surgery, out 4-6 weeks",2016-01-20,"['pelican', 'gordon', 'surgery', '46', 'week']",0,0,0
"LeBron, Melo among 30 finalists for Team USA",2016-01-20,"['lebron', 'melo', 'among', '30', 'finalist', 'team', 'usa']",0,0,0
"Youngmisuk: Lillard, McCollum growing into greatness",2016-01-20,"['youngmisuk', 'lillard', 'mccollum', 'growing', 'greatness']",0,0,0
Pelicans roll but lose Gordon to broken finger,2016-01-20,"['pelican', 'roll', 'lose', 'gordon', 'broken', 'finger']",0,0,0
"Bucks take advantage of short-handed Heat, top Miami 91-79",2016-01-20,"['buck', 'take', 'advantage', 'shorthanded', 'heat', 'top', 'miami', '9179']",0,0,0
Nuggets GM Connelly 'surprised' at extension,2016-01-20,"['nugget', 'gm', 'connelly', 'surprised', 'extension']",0,0,0
"Lin, Curry, Harden star in Chinese New Year's ad",2016-01-19,"['lin', 'curry', 'harden', 'star', 'chinese', 'new', 'year', 'ad']",0,0,0
Griffin's return hurts Clippers' fantasy outlook,2016-01-19,"['griffin', 'return', 'hurt', 'clipper', 'fantasy', 'outlook']",0,0,0
"Grades for all 15 West teams, from A+ to F",2016-01-19,"['grade', '15', 'west', 'team', 'f']",0,0,0
Kidd-Gilchrist cleared for full-contact practice,2016-01-19,"['kiddgilchrist', 'cleared', 'fullcontact', 'practice']",0,0,0
